"","第1主成分","第2主成分","第3主成分"
"ヴァイパー",-2.2277115796865,-1.07529375710012,0.177417167480433
"クローヴ",-1.12374866826563,0.983809980023644,0.510482053305463
"アストラ",0.0700909304061123,-0.427425707638183,-0.142255652891564
"ミクス",-0.00927161226840839,0.700857565339521,-0.120162794218906
"オーメン",0.454534390080624,-0.140905626259377,-0.519461680959461
"ハーバー",0.113816593282836,0.413136879145442,-0.367270170630793
"ブリムストーン",2.72228994645098,-0.454179333510918,0.461251077914838
