"","第1主成分","第2主成分","第3主成分"
"勝率[%]",-0.524831496855097,0.81581023516147,0.242910601075014
"使用率[%]",-0.581642791059357,-0.552069706791614,0.597420038542149
"K/D",-0.621484966445303,-0.172257653092128,-0.764253712737906
